English,Portuguese
I should've known that you would be here,Eu deveria saber que você estaria aqui
Good evening Professor Dumbledore.,Boa noite Professor Dumbledore
Are the rumors true Albus?,Os rumores são verdadeiros Albus?
I'm afraid so professor.,Eu receio que sim professora
The good and the bad.,Os bons e os maus
- And the boy?,E o garoto?
- Hagrid is bringing him.,Hagrid está trazendo ele
"Is it wise to trust Hagrid
with something so important?",É prudente confiar a Hagrid  uma tarefa tão importante?
"I would trust Hagrid
with my life.",Eu confiaria minha vida a Hagrid
- No problems I trust Hagrid?,Nenhum problema Eu espero Hagrid
- No sir.,Não senhor
Little tyke fell asleep,O pequenino adormeceu
as we were flying over Bristol.,No momento em que sobrevoamos bristol
Try not to wake him.,Tente não acorda-lo
There you go.,Aqui está
"Do you really think it's safe
leaving him with these people?",Você realmente acha que é segundo deixa-lo com essas pessoas?
I've watched them all day.,Eu os observei o dia inteiro
They're the worst sort of Muggles.,Eles são o pior tipo de trouxa
- They really are...,Eles realmente são...
- The only family he has.,é a única família que ele tem
"He'll be famous. Every child
in our world will know his name.",Ele vai ser famoso. Toda criança em nosso mundo saberá o nome dele
Exactly.,Exatamente
"He's far better off growing up
away from all of that.",Ele está muito melhor crescendo longe de tudo isso
Until he's ready.,Até que ele esteja pronto
It's not really goodbye after all.,Não é um adeus de verdade Afinal
Good luck...,Boa sorte
Up. Get up!,Levante!
Now!,Agora!
 Wake up cousin!,Acorda primo!
We're going to the zoo!,Nós vamos ao zoológico
Here comes the birthday boy.,Vem aí o aniversariante
 Happy birthday son.,Feliz aniversário filho
Cook breakfast.,Faça o café da manhã
And try not to burn anything.,E tente não queimar nada
- Yes Aunt Petunia.,Sim Tia Petunia
- I want everything to be perfect...,Eu quero tudo perfeito...
...for my Dudley's special day!,...para o dia especial do meu Dudley
- Hurry up! Bring my coffee boy.,Anda logo! Traga meu café garoto
